CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87394551;Chêne-Chenu;N;N;409000;1;21+119;Tremblay-les-Villages;Eure-et-Loir;30000008102;e5432f42-6667-11e3-a7ff-01f464e0362d;574482.8696999997;6832972.9538;1.298090030309361;48.58479258840916;48.5847925884, 1.29809003031
87394502;Bailleau-l'Évêque;N;N;409000;1;8+191;Bailleau-l'Évêque;Eure-et-Loir;30000003061;e545bd32-6667-11e3-a7ff-01f464e0362d;582323.4963999987;6822742.0896000005;1.407170608010955;48.49425086139575;48.4942508614, 1.40717060801
87394411;Bailleau-le-Pin;O;O;500000;1;102+854;Bailleau-le-Pin;Eure-et-Loir;30000003062;c0d82306-f312-11e3-90ff-015864e0362d;575941.4253000021;6808711.351;1.3248387431509538;48.36686369862696;48.3668636986, 1.32483874315
87394528;Clévilliers;N;N;409000;1;14+565;Clévilliers;Eure-et-Loir;30000008100;e54474ba-6667-11e3-a7ff-01f464e0362d;580246.511500001;6829156.523600001;1.3772810610094417;48.55156116147047;48.5515611614, 1.37728106101
87394452;Brou;O;O;500000;1;124+405;Brou;Eure-et-Loir;30000003419;d990ea16-6667-11e3-89ff-01f464e0362d;563376.4814999998;6792174.833299998;1.1604342375438579;48.21560010971405;48.2156001097, 1.16043423754
87394619;Nogent-le-Roi;N;N;554000;1;31+995;Nogent-le-Roi;Eure-et-Loir;30000072493;e5426d30-6667-11e3-a7ff-01f464e0362d;;;;;
87396002;Le Mans;O;O;561000;1;333+690;;;30000004956;2949d29e-dfbc-11e3-a2ff-01a464e0362d;;;;;
87396457;Villaines;N;N;509000;1;339+146;Villaines-sous-Malicorne;Sarthe;30000008097;e54cc326-6667-11e3-a7ff-01f464e0362d;468062.8674999997;6745133.373500001;-0.09703107731553774;47.76565228089059;47.7656522809, -0.0970310773155
87396341;St-Georges-Étival;N;N;450000;1;219+239;St-Georges-du-Bois;Sarthe;30000008929;e54cc132-6667-11e3-a7ff-01f464e0362d;484559.80309999734;6765982.6406;0.11287301006258803;47.95878275908101;47.9587827591, 0.112873010063
87396309;Connerré-Beillé;O;O;420000;1;186+739;Beillé;Sarthe;30000003802;c090379c-f312-11e3-90ff-015864e0362d;512871.7558000013;6777807.5002;0.4869666639783437;48.07384329531561;48.0738432953, 0.486966663978
87396374;Noyen;N;O;450000;1;239+338;Noyen-sur-Sarthe;Sarthe;30000005833;d96c9d7c-6667-11e3-89ff-01f464e0362d;468429.4610000029;6757241.976300001;-0.09848226566781337;47.87467624834712;47.8746762483, -0.0984822656678
87396580;Mayet;N;O;561000;1;304+891;Mayet;Sarthe;30000005430;e1d080ea-19bf-11e5-a6ff-01fc64e0362d;495212.6445999965;6743511.506299999;0.2659375327441477;47.76008523771197;47.7600852377, 0.265937532744
